Afghanistan	Dari Persian    
Albania	Albanian    
Algeria	Arabic    
Andorra	Catalán    
Angola	Portuguese    
Antigua and Barbuda	English    
Argentina	Spanish    
Armenia	Armenian    
Australia	English    
Austria	German    
Azerbaijan	Azerbaijani Turkic    
Bahamas	English    
Bahrain	Arabic    
Bangladesh	Bangla    
Barbados	English
Belarus	Belorussian    
Belgium	Dutch    
Belize	English    
Benin	French    
Bhutan	Dzongkha    
Bolivia	Spanish    
Bosnia and Herzegovina	Bosnian    
Botswana	English    
Brazil	Portuguese    
Brunei	Malay    
Bulgaria	Bulgarian    
Burkina Faso	French    
Burundi	Kirundi and French    
Cambodia	Khmer    
Cameroon	French    
Canada	English    
Cape Verde	Portuguese    
Central African Republic	French    
Chad	French    
Chile	Spanish
China	Standard Chinese    
Colombia	Spanish
Comoros	Arabic and French    
Congo    
Congo    
Costa Rica	Spanish    
Côte d'Ivoire	French    
Croatia	Croatian    
Cuba	Spanish
Cyprus	Greek    
Czech Republic	Czech
Denmark	Danish    
Djibouti	French and Arabic    
Dominica	English    
Dominican Republic	Spanish
East Timor	Tetum    
Ecuador	Spanish    
Egypt	Arabic    
El Salvador	Spanish    
Equatorial Guinea	Spanish    
Eritrea	Afar    
Estonia	Estonian    
Ethiopia	Amharic    
Fiji	English    
Finland	Finnish    
France	French    
Gabon	French    
Gambia	English    
Georgia	Georgian    
Germany	German
Ghana	English    
Greece	Greek    
Grenada	English    
Guatemala	Spanish    
Guinea	French    
Guinea-Bissau	Portuguese    
Guyana	English    
Haiti	Creole and French    
Honduras	Spanish    
Hungary	Magyar    
Iceland	Icelandic    
India	Hindi    
Indonesia	Bahasa Indonesia    
Iran	Persian and Persian dialects    
Iraq	Arabic    
Ireland	English    
Israel	Hebrew    
Italy	Italian    
Jamaica	English    
Japan	Japanese
Jordan	Arabic    
Kazakhstan	Kazak    
Kenya	English    
Kiribati	English    
Korea    
Korea    
Kosovo	Albanian    
Kuwait	Arabic    
Kyrgyzstan	Kyrgyz    
Laos	Lao    
Latvia	Latvian    
Lebanon	Arabic    
Lesotho	English    
Liberia	English    
Libya	Arabic    
Liechtenstein	German    
Lithuania	Lithuanian    
Luxembourg	Luxermbourgish    
Macedonia	Macedonian    
Madagascar	Malagasy and French    
Malawi	Chichewa    
Malaysia	Bahasa Melayu    
Maldives	Maldivian Dhivehi    
Mali	French    
Malta	Maltese and English    
Marshall Islands	Marshallese    
Mauritania	Hassaniya Arabic    
Mauritius	English less than    
Mexico	Spanish    
Micronesia	English    
Moldova	Moldovan    
Monaco	French    
Mongolia	Mongolian    
Montenegro	Serbian/Montenegrin    
Morocco	Arabic    
Mozambique	Portuguese    
Myanmar	Burmese    
Namibia	English    
Nauru	Nauruan    
Nepal	Nepali    
Netherlands	Dutch    
New Zealand	English    
Nicaragua	Spanish    
Niger	French    
Nigeria	English    
Norway	Bokmål Norwegian    
Oman	Arabic    
Pakistan	Urdu    
Palau	Palauan    
Palestinian State    
Panama	Spanish    
Papua New Guinea	Tok Pisin    
Paraguay	Spanish    
Peru	Spanish    
Philippines	Filipino    
Poland	Polish    
Portugal	Portuguese    
Qatar	Arabic    
Romania	Romanian    
Russia	Russian    
Rwanda	Kinyarwanda    
St. Kitts and Nevis	English
St. Lucia	English    
St. Vincent and the Grenadines	English    
Samoa	Samoan    
San Marino	Italian
São Tomé and Príncipe	Portuguese    
Saudi Arabia	Arabic
Senegal	French    
Serbia	Serbian    
Seychelles	Seselwa Creole    
Sierra Leone	English    
Singapore	Mandarin    
Slovakia	Slovak    
Slovenia	Slovenian    
Solomon Islands	English    
Somalia	Somali    
South Africa	IsiZulu    
South Sudan	English    
Spain	Castilian Spanish    
Sri Lanka	Sinhala    
Sudan	Arabic    
Suriname	Dutch    
Swaziland	English    
Sweden	Swedish    
Switzerland	German    
Syria	Arabic    
Taiwan	Chinese    
Tajikistan	Tajik    
Tanzania	Swahili    
Thailand	Thai    
Togo	French    
Tonga	Tongan    
Trinidad and Tobago	English    
Tunisia	Arabic    
Turkey	Turkish    
Turkmenistan	Turkmen    
Tuvalu	Tuvaluan    
Uganda	English    
Ukraine	Ukrainian    
United Arab Emirates	Arabic    
United Kingdom	English    
United States	English    
Uruguay	Spanish    
Uzbekistan	Uzbek    
Vanuatu	Bislama    
Vatican City    
Venezuela	Spanish    
Vietnam	Vietnamese    
Western Sahara    
Yemen	Arabic
Zambia	English    
Zimbabwe	English    
